ticker,final_amount,total_investment,multiplicity,annual_return_rate,buy_date
EQIX,114328858.45115682,1180000.0,96.8888630942007,4.794443154710035,2002-01-31 00:00:00
BKNG,107661964.81965682,1180000.0,91.2389532369973,4.511947661849865,2002-01-31
ENPH,26953439.74216916,565000.0,47.70520308348522,2.335260154174261,2012-04-30 00:00:00
ALGN,51486829.94345681,1180000.0,43.63290673174306,2.131645336587153,2002-01-31
AMZN,49516447.66515681,1180000.0,41.96309124165831,2.048154562082916,2002-01-31
SBAC,42571210.47355682,1180000.0,36.07729701148883,1.7538648505744416,2002-01-31 00:00:00
DXCM,31747544.886282783,980000.0,32.39545396559468,1.5697726982797338,2005-05-31 00:00:00
TYL,33856766.76535682,1180000.0,28.692175224878657,1.3846087612439328,2002-01-31 00:00:00
ILMN,28392196.221556813,1180000.0,24.06118323860747,1.1530591619303734,2002-01-31 00:00:00
ABMD,24971731.85875681,1180000.0,21.162484626065098,1.0081242313032548,2002-01-31
REGN,23303428.47455681,1180000.0,19.74866819877696,0.937433409938848,2002-01-31 00:00:00
MKTX,19351625.075292032,1005000.0,19.25534833362392,0.9127674166811957,2004-12-31 00:00:00
DPZ,19538698.03767944,1025000.0,19.06214442700433,0.9031072213502164,2004-08-31 00:00:00
MPWR,18578759.00469203,1005000.0,18.48632736785277,0.8743163683926383,2004-12-31 00:00:00
ISRG,21208927.29755681,1180000.0,17.97366720131933,0.8486833600659665,2002-01-31 00:00:00
AMD,18722765.49835681,1180000.0,15.86675042233628,0.7433375211168141,2002-01-31
LRCX,17913117.476156816,1180000.0,15.18060803064137,0.7090304015320685,2002-01-31 00:00:00
MTD,16999008.113756813,1180000.0,14.405939079454926,0.6702969539727464,2002-01-31 00:00:00
URI,15755864.167156812,1180000.0,13.352427260302385,0.6176213630151192,2002-01-31 00:00:00
ADBE,15416612.658656811,1180000.0,13.064925981912552,0.6032462990956275,2002-01-31
SWKS,14961257.606656814,1180000.0,12.679031870048147,0.5839515935024073,2002-01-31 00:00:00
MSCI,10108527.1851054,825000.0,12.25276022437018,0.5626380112185091,2007-12-31 00:00:00
AMT,14032364.171156812,1180000.0,11.891834043353231,0.5445917021676616,2002-01-31
POOL,13958451.648956813,1180000.0,11.829196312675265,0.5414598156337632,2002-01-31 00:00:00
GNRC,8162009.490015425,690000.0,11.82899926089192,0.5414499630445959,2010-03-31 00:00:00
MRNA,1823436.6502992287,160000.0,11.39647906437018,0.5198239532185089,2019-01-31 00:00:00
PTC,13339547.175956814,1180000.0,11.30470099657357,0.5152350498286785,2002-01-31 00:00:00
NFLX,13054470.13054756,1155000.0,11.30257154159962,0.5151285770799809,2002-06-28 00:00:00
MSI,13237911.764756814,1180000.0,11.21856929216679,0.5109284646083395,2002-01-31 00:00:00
ZBRA,12751118.716156814,1180000.0,10.806032810302383,0.4903016405151192,2002-01-31 00:00:00
IT,12707257.035756811,1180000.0,10.768861894709165,0.4884430947354581,2002-01-31 00:00:00
CMG,9754450.96318612,935000.0,10.43256787506537,0.4716283937532685,2006-02-28 00:00:00
TMO,12137890.528356817,1180000.0,10.286347905387132,0.4643173952693565,2002-01-31 00:00:00
CDNS,12119173.567156812,1180000.0,10.270486073861706,0.4635243036930853,2002-01-31 00:00:00
ORLY,11867196.546856811,1180000.0,10.05694622614984,0.452847311307492,2002-01-31 00:00:00
TDY,11801232.645556811,1180000.0,10.001044614878651,0.4500522307439326,2002-01-31 00:00:00
SIVB,11673311.015356813,1180000.0,9.892636453692214,0.4446318226846107,2002-01-31 00:00:00
INTU,11376345.779556813,1180000.0,9.640970999624418,0.4320485499812209,2002-01-31 00:00:00
IDXX,10953107.992556812,1180000.0,9.28229490894645,0.4141147454473225,2002-01-31 00:00:00
AKAM,10784553.750456812,1180000.0,9.139452330895605,0.4069726165447801,2002-01-31
WST,10628487.468756812,1180000.0,9.00719277013289,0.4003596385066445,2002-01-31 00:00:00
HUM,10486408.471156811,1180000.0,8.8867868399634,0.3943393419981699,2002-01-31 00:00:00
AZO,10409291.491956811,1180000.0,8.821433467760011,0.3910716733880005,2002-01-31
NVDA,10115683.609156812,1180000.0,8.572613228098993,0.3786306614049496,2002-01-31 00:00:00
ETSY,3219184.0175606688,380000.0,8.47153688831755,0.3735768444158774,2015-05-29 00:00:00
SNPS,9986666.089156812,1180000.0,8.463276346743061,0.3731638173371531,2002-01-31 00:00:00
ADSK,9834835.850256814,1180000.0,8.334606652760012,0.3667303326380006,2002-01-31
TSLA,5571884.301928021,670000.0,8.316245226758241,0.365812261337912,2010-07-30 00:00:00
FTNT,5786953.460280976,705000.0,8.208444624512023,0.3604222312256012,2009-12-31 00:00:00
AVGO,5867278.765146529,720000.0,8.148998284925735,0.3574499142462867,2009-09-30
TTWO,9610778.935156813,1180000.0,8.144727911149841,0.3572363955574921,2002-01-31 00:00:00
CRL,9545891.632856812,1180000.0,8.089738671912553,0.3544869335956276,2002-01-31 00:00:00
CCI,9443740.484556813,1180000.0,8.00316990216679,0.3501584951083395,2002-01-31 00:00:00
CTAS,9418622.789556812,1180000.0,7.981883719963401,0.34909418599817,2002-01-31 00:00:00
ULTA,6527734.414627249,830000.0,7.864740258587047,0.3432370129293524,2007-11-30 00:00:00
BIO,9266177.787556814,1180000.0,7.852693040302385,0.3426346520151192,2002-01-31
TER,9122732.837956814,1180000.0,7.731129523692215,0.3365564761846107,2002-01-31 00:00:00
NDAQ,8841174.633903855,1145000.0,7.721549898605987,0.3360774949302993,2002-08-30 00:00:00
