ticker,final_amount,total_investment,multiplicity,annual_return_rate,buy_date
QQQ,7543057.146556812,1180000.0,6.3924213106413665,0.2696210655320683,2002-01-31
VOO,2031584.3202624677,655000.0,3.1016554507823937,0.10508277253911968,2010-10-29
SPY,3491111.2399568125,1180000.0,2.9585688474210277,0.09792844237105137,2002-01-31
DIA,3070124.3076568125,1180000.0,2.601800260726112,0.08009001303630561,2002-01-31
